,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,time
6791,0.0,0.0,17.0,8.0,1.0,1.0,1.0,0.0,3,5.0
1824,0.0,0.0,135.0,166.0,2.0,0.0,0.0,0.0,1,25.0
4202,1.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,3,0.0
5269,0.0,1.0,34.0,20.0,4.0,0.0,2.0,0.0,2,11.0
4425,1.0,0.0,39.0,30.0,0.0,0.0,0.0,0.0,1,15.0
5326,0.0,0.0,91.0,37.0,0.0,2.0,0.0,1.0,2,15.0
4214,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,4,0.0
3979,0.0,0.0,45.0,41.0,3.0,0.0,0.0,0.0,1,15.0
5380,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,2,1.0
4402,0.0,0.0,22.0,9.0,2.0,0.0,0.0,0.0,4,13.0
1936,0.0,0.0,69.0,53.0,0.0,0.0,0.0,0.0,2,15.0
2923,0.0,1.0,16.0,70.0,2.0,1.0,1.0,0.0,2,12.0
255,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2,0.0
4015,0.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,2,1.0
4818,0.0,0.0,64.0,42.0,2.0,1.0,4.0,0.0,1,15.0
1592,0.0,0.0,129.0,69.0,1.0,0.0,0.0,0.0,2,15.0
1806,1.0,0.0,131.0,93.0,0.0,1.0,1.0,0.0,1,13.0
5091,0.0,0.0,22.0,25.0,4.0,0.0,0.0,0.0,2,15.0
6994,0.0,0.0,19.0,3.0,3.0,0.0,1.0,0.0,2,7.0
6848,1.0,0.0,17.0,33.0,0.0,3.0,0.0,1.0,3,7.0
5527,0.0,0.0,51.0,18.0,5.0,0.0,0.0,0.0,2,15.0
5553,1.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,2,1.0
4689,0.0,1.0,51.0,19.0,2.0,2.0,2.0,1.0,2,15.0
5088,0.0,0.0,14.0,7.0,1.0,0.0,1.0,0.0,4,4.0
3574,0.0,0.0,59.0,45.0,0.0,6.0,0.0,0.0,3,15.0
6387,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,3,2.0
7480,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,4,4.0
6733,0.0,0.0,31.0,6.0,0.0,0.0,0.0,0.0,2,4.0
3161,1.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,2,1.0
647,0.0,0.0,86.0,35.0,6.0,1.0,3.0,0.0,3,12.0
6222,0.0,0.0,47.0,22.0,2.0,1.0,1.0,1.0,2,15.0
4022,0.0,0.0,39.0,10.0,2.0,2.0,1.0,0.0,3,14.0
4245,0.0,0.0,48.0,45.0,0.0,0.0,0.0,1.0,2,15.0
2126,0.0,0.0,7.0,9.0,3.0,0.0,3.0,0.0,1,6.0
7225,0.0,0.0,50.0,50.0,0.0,3.0,0.0,0.0,2,25.0
300,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,2,1.0
306,0.0,0.0,34.0,9.0,7.0,1.0,1.0,0.0,3,25.0
4359,0.0,0.0,12.0,11.0,2.0,1.0,0.0,0.0,2,5.0
3697,0.0,0.0,49.0,52.0,0.0,0.0,0.0,0.0,1,15.0
6101,0.0,1.0,8.0,40.0,1.0,0.0,1.0,0.0,4,7.0
7034,1.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,3,2.0
